CharacteristicName,ResultMeasure/MeasureUnitCode,Frequency
Phosphorus,mg/kg as P,583
Phosphorus,mg/l PO4,512
Phosphorus,mg/kg,445
Phosphorus,ppb,217
Phosphorus,ug/l as P,183
Phosphorus,mg/kg,89
Phosphorus,% by wt,61
Phosphorus,mg/g,29
Phosphorus,%,17
Sex (choice list),None,153620
Sex (choice list),nan,220
Specific conductance,uS/cm,789896
Specific conductance,uS/cm @25C,137110
Specific conductance,umho/cm,69487
Specific conductance,mS/cm,18415
Specific conductance,umho/cm,16060
Specific conductance,uS/cm,9217
Specific conductance,S/m,5728
Specific conductance,mS/cm,1149
Specific conductance,mho/cm,1127
Specific conductance,ug/l,237
Specific conductance,nan,235
Specific conductance,mg/l,165
Specific conductance,None,2
Specific conductance,mg/l,1
Split Count,None,198584
Split Count,#/m3,1005
"Temperature, water",deg C,1696603
"Temperature, water",deg F,472026
"Temperature, water",deg C,30033
"Temperature, water",nan,3439
"Temperature, water",deg F,2280
"Temperature, water",ft,100
"Temperature, water",mg/l,5
"Temperature, water",Deg,1
"Temperature, water",ug/l,1
"Transmittance, Horizontal",%,263306
"Transmittance, Horizontal",nan,9
Turbidity,NTU,83260
Turbidity,FNU,25905
Turbidity,None,14284
Turbidity,nm,5718
Turbidity,NTU,5023
Turbidity,nan,3934
Turbidity,FTU,3122
Turbidity,NTRU,2617
Turbidity,FNRU,2006
Turbidity,JTU,533
Turbidity,JCU,366
Turbidity,FNMU,279
Turbidity,T.U.,276
Turbidity,FTU,163
Turbidity,cm,27
Turbidity,mg/l,20
Turbidity,in,7
Turbidity,mg/l SiO2,7
Turbidity,deg C,3
Turbidity,mg/l,2
Water appearance (text),nan,452647
Water appearance (text),None,104
Width,micron,129073
Width,mm,219
Width,ft,1
