ResultMeasure/MeasureUnitCode,Frequency
"{'nan': 1, 'ug/kg': 1}","Dibenz[a,h]anthracene"
"{'nan': 1, 'ug/kg': 1}",Aroclor 1242
"{'nan': 1, 'ug/kg': 1}",Endrin ketone
"{'nan': 1, 'ug/kg': 1}",trans-Chlordane
{'ug/kg': 2},Benz[a]anthracene
"{'nan': 1, 'ug/kg': 1}",Lindane
"{'nan': 1, 'ug/kg': 1}",Dieldrin
"{'nan': 1, 'ug/kg': 1}",Endrin
"{'nan': 1, 'ug/kg': 1}",Methoxychlor
"{'nan': 1, 'ug/kg': 1}","p,p'-DDD"
"{'nan': 1, 'ug/kg': 1}","p,p'-DDE"
"{'nan': 1, 'ug/kg': 1}",Endrin aldehyde
"{'nan': 3, 'ug/kg': 1}",Cadmium
"{'nan': 1, 'ug/kg': 1}",Heptachlor
"{'nan': 1, 'ug/kg': 1}","o,p'-DDT"
"{'nan': 1, 'ug/kg': 1}",Toxaphene
"{'nan': 1, 'ug/kg': 1}",Acenaphthene
{'ug/kg': 2},Phenanthrene
"{'nan': 1, 'ug/kg': 1}",Fluorene
"{'nan': 1, 'ug/kg': 1}",Naphthalene
"{'nan': 1, 'ug/kg': 1}",2-Methylnaphthalene
"{'nan': 1, 'ug/kg': 1}",.alpha.-Endosulfan
{'%': 2},Total volatile solids
"{'ug/kg': 1, 'mg/kg': 1}",Acid Volatile Sulfides
{'None': 1},Simultaneously extracted metals/acid volatile sulfides
{'g/cm3': 2},Specific gravity
{'%': 1},"Particle size, Sieve No. 140, 150 mesh, (0.106mm)"
{'%': 2},"Particle size, Sieve No. 200, 200 mesh, (0.075mm)"
{'%': 1},"Particle size, Sieve No. 04, 4 mesh, (4.75mm)"
{'%': 1},"Particle size, Sieve No. 10, 9 mesh, (2.00mm)"
{'%': 1},"Particle size, Sieve No. 20, 20 mesh, (0.850mm)"
{'%': 1},"Particle size, Sieve No. 40, 35 mesh, (0.425mm)"
{'%': 1},"Particle size, Sieve No. 60, 60 mesh, (0.250mm)"
{'%': 1},"Particle size, Sieve No. 100, 100 mesh, (0.150mm)"
{'ug/kg': 1},1-Methylnaphthalene
{'%': 1},Substrate - gravel
{'%': 1},Sand
