CharacteristicName,ResultMeasure/MeasureUnitCode,Standard unit,Transformation,Notes,Action,Function
Orthophosphate as P,mg/l,mg/L,none, ,rename_unit,"def f(row):
	return (row['CharacteristicName'],row['ResultMeasureValue'],row['Standard unit'])"
Oxidation reduction potential (ORP),m/y,, ,Delete,delete,
Oxidation reduction potential (ORP),mV,mV,none, ,keep,
Oxygen,% saturatn,%,none,"change the variable name to ""Dissolved oxygen"" and the unit name to ""%""",rename_all,"def f(row):
	return ('Dissolved oxygen',row['ResultMeasureValue'],row['Standard unit'])"
Oxygen,mg/l,mg/L,none,"Change the variable name to ""Dissolved oxygen""",rename_all,"def f(row):
	return ('Dissolved oxygen',row['ResultMeasureValue'],row['Standard unit'])"
Phosphate-phosphorus,mg/kg,, ,Delete,delete,
Phosphate-phosphorus,mg/l,mg/L,none, ,rename_unit,"def f(row):
	return (row['CharacteristicName'],row['ResultMeasureValue'],row['Standard unit'])"
Phosphate-phosphorus,ug/l,mg/L,x/1000, ,convert,"def f(row):
	return (row['CharacteristicName'],(row['ResultMeasureValue']/1000),row['Standard unit'])"
Phosphate-phosphorus as P,mg/kg,, ,Delete,delete,
Phosphate-phosphorus as P,mg/l,mg/L,none, ,rename_unit,"def f(row):
	return (row['CharacteristicName'],row['ResultMeasureValue'],row['Standard unit'])"
Phosphorus,%,, ,Delete,delete,
Phosphorus,% by wt,, ,Delete,delete,
Phosphorus,mg/g,, ,Delete,delete,
Phosphorus,mg/kg,, ,Delete,delete,
Phosphorus,mg/kg as P,, ,Delete,delete,
Phosphorus,mg/l,mg/L,none, ,rename_unit,"def f(row):
	return (row['CharacteristicName'],row['ResultMeasureValue'],row['Standard unit'])"
Phosphorus,mg/l as P,mg/L,none,"Move the ""as P"" to the variable name",move,"def f(row):
	return ('Phosphorus as P',row['ResultMeasureValue'],row['Standard unit'])"
Phosphorus,mg/l asPO4,mg/L,none,"Move the ""as PO4"" to the variable name",move,"def f(row):
	return ('Phosphorus as PO4',row['ResultMeasureValue'],row['Standard unit'])"
Phosphorus,ppb,mg/L,x/1000, ,convert,"def f(row):
	return (row['CharacteristicName'],(row['ResultMeasureValue']/1000),row['Standard unit'])"
Phosphorus,ug/l,mg/L,x/1000, ,convert,"def f(row):
	return (row['CharacteristicName'],(row['ResultMeasureValue']/1000),row['Standard unit'])"
Phosphorus,ug/l as P,mg/L,x/1000,"Move the ""as P"" to the variable name",move_convert,"def f(row):
	return ('Phosphorus as P',(row['ResultMeasureValue']/1000),row['Standard unit'])"
Phycocyanins,ug/l,mg/L,x/1000, ,convert,"def f(row):
	return (row['CharacteristicName'],(row['ResultMeasureValue']/1000),row['Standard unit'])"
Phycocyanins,RFU,RFU,none, ,keep,
Phycocyanins,ug/l,mg/L,x/1000, ,convert,"def f(row):
	return (row['CharacteristicName'],(row['ResultMeasureValue']/1000),row['Standard unit'])"
Phytoplankton,#/l,Count/mL,x*1000, ,convert,"def f(row):
	return (row['CharacteristicName'],(row['ResultMeasureValue']*1000),row['Standard unit'])"
Phytoplankton,#/ml,Count/mL,none, ,rename_unit,"def f(row):
	return (row['CharacteristicName'],row['ResultMeasureValue'],row['Standard unit'])"
Saxitoxin,ng/l,, ,Delete,delete,
Saxitoxin,ug/l,, ,Delete,delete,
Saxitoxin,ug/l,, ,Delete,delete,
Specific conductance,None,, ,Delete,delete,
Specific conductance,S/m,, ,Not sure,keep,
Specific conductance,mS/cm,mS/cm,none,"remove ""Specific"" from variable name",rename_variable,"def f(row):
	return ('Conductance',row['ResultMeasureValue'],row['Standard unit'])"
Specific conductance,mg/l,, ,Delete,delete,
Specific conductance,mho/cm,, ,Delete,delete,
Specific conductance,uS/cm,mS/cm,x/1000, ,convert,"def f(row):
	return (row['CharacteristicName'],(row['ResultMeasureValue']/1000),row['Standard unit'])"
Specific conductance,uS/cm @25C,mS/cm,x/1000,"Move the ""@25C"" to the variable name; remove ""specific"" from variable name",move_convert,"def f(row):
	return ('Conductance @25C',(row['ResultMeasureValue']/1000),row['Standard unit'])"
Specific conductance,ug/l,, ,Delete,delete,
Specific conductance,umho/cm,, ,Delete,delete,
Sulfate,mg/kg,, ,Delete,delete,
Sulfate,mg/l,mg/L,none, ,rename_unit,"def f(row):
	return (row['CharacteristicName'],row['ResultMeasureValue'],row['Standard unit'])"
Sulfate,ug/l,mg/L,x/1000, ,convert,"def f(row):
	return (row['CharacteristicName'],(row['ResultMeasureValue']/1000),row['Standard unit'])"
Sulfate as SO4,mg/l,mg/L,none, ,rename_unit,"def f(row):
	return (row['CharacteristicName'],row['ResultMeasureValue'],row['Standard unit'])"
"Temperature, water",Deg,, ,Delete,delete,
"Temperature, water",deg C,C,none, ,rename_unit,"def f(row):
	return (row['CharacteristicName'],row['ResultMeasureValue'],row['Standard unit'])"
"Temperature, water",deg F,C,(x - 32) * 5/9, ,convert,"def f(row):
	return (row['CharacteristicName'],((row['ResultMeasureValue']-32)*5/9),row['Standard unit'])"
"Temperature, water",ft,, ,Delete,delete,
"Temperature, water",mg/l,, ,Delete,delete,
"Temperature, water",ug/l,, ,Delete,delete,
Total Kjeldahl nitrogen,mg/l,mg/L,none, ,rename_unit,"def f(row):
	return (row['CharacteristicName'],row['ResultMeasureValue'],row['Standard unit'])"
Total suspended solids,%,, ,Delete,delete,
Total suspended solids,deg C,, ,Delete,delete,
Total suspended solids,kg,, ,Delete,delete,
Total suspended solids,mg/l,mg/L,none, ,rename_unit,"def f(row):
	return (row['CharacteristicName'],row['ResultMeasureValue'],row['Standard unit'])"
"Transmittance, Horizontal",%,%,none, ,keep,
"Transparency, Secchi tube with disk",cm,m,x/1000, ,convert,"def f(row):
	return (row['CharacteristicName'],(row['ResultMeasureValue']/1000),row['Standard unit'])"
"Transparency, Secchi tube with disk",NTU,, ,Delete,delete,
"Transparency, Secchi tube with disk",cm,m,x/1000,Not sure why this different from row 195,keep,
"Transparency, Secchi tube with disk",mm,, ,Delete,delete,
Turbidity,FNMU,, ,Delete,delete,
Turbidity,FNRU,, ,"Not sure, so let's keep it for now",keep,
Turbidity,FNU,, ,"Not sure, so let's keep it for now",keep,
Turbidity,FTU,, ,"Not sure, so let's keep it for now",keep,
Turbidity,JCU,, ,Delete,delete,
Turbidity,JTU,, ,Delete,delete,
Turbidity,NTRU,, ,"Not sure, so let's keep it for now",keep,
Turbidity,NTU,NTU, , ,keep,
Turbidity,None,, ,Delete,delete,
Turbidity,T.U.,, ,Delete,delete,
Turbidity,cm,, ,Delete,delete,
Turbidity,deg C,, ,Delete,delete,
Turbidity,in,, ,Delete,delete,
Turbidity,mg/l,, ,Delete,delete,
Turbidity,mg/l SiO2,, ,Delete,delete,
Turbidity,nm,, ,Delete,delete,
Water appearance (text),None,, ,Delete,delete,
Water level in relation to reference point,cm,, ,Delete,delete,
Water level in relation to reference point,m,, ,Delete,delete,
pH,NTU,, ,Delete,delete,
pH,None,[no unit],none,Correct there ususally are no units as it's the negative log of the hydrogen ion concentration,rename_unit,"def f(row):
	return (row['CharacteristicName'],row['ResultMeasureValue'],row['Standard unit'])"
pH,mV,, ,Delete,delete,
pH,ng,, ,Delete,delete,
pH,std units,[no unit],none, ,rename_unit,"def f(row):
	return (row['CharacteristicName'],row['ResultMeasureValue'],row['Standard unit'])"
